Kg_Fuel;Outer Tank LH X-arm;Outer Tank LH Y-arm;Moment_X_OLH;Moment_Y_OLH;Outer Tank RH X-arm;Outer Tank RH Y-arm;Moment_X_ORH;Moment_Y_ORH
2500;38,37146377;-19,72849185;95928,65944;-49321,22963;38,37146377;19,72849185;95928,65944;49321,22963
2525;38,38451563;-19,75367852;96920,90197;-49878,03825;38,38451563;19,75367852;96920,90197;49878,03825
2550;38,39763349;-19,77902181;97913,9654;-50436,5056;38,39763349;19,77902181;97913,9654;50436,5056
2575;38,41081735;-19,80452172;98907,85467;-50996,64343;38,41081735;19,80452172;98907,85467;50996,64343
2600;38,4240672;-19,83017826;99902,57473;-51558,46348;38,4240672;19,83017826;99902,57473;51558,46348
2625;38,43738306;-19,85599143;100898,1305;-52121,97749;38,43738306;19,85599143;100898,1305;52121,97749
2650;38,45076492;-19,88196122;101894,527;-52687,19722;38,45076492;19,88196122;101894,527;52687,19722
2675;38,46421278;-19,90808763;102891,7692;-53254,13441;38,46421278;19,90808763;102891,7692;53254,13441
2700;38,47772663;-19,93437067;103889,8619;-53822,80081;38,47772663;19,93437067;103889,8619;53822,80081
2725;38,49130649;-19,96081034;104888,8102;-54393,20816;38,49130649;19,96081034;104888,8102;54393,20816
2750;38,50495235;-19,98740663;105888,619;-54965,36822;38,50495235;19,98740663;105888,619;54965,36822
2775;38,51866421;-20,01415954;106889,2932;-55539,29272;38,51866421;20,01415954;106889,2932;55539,29272
2800;38,53244206;-20,04106908;107890,8378;-56114,99342;38,53244206;20,04106908;107890,8378;56114,99342
2825;38,54628592;-20,06813525;108893,2577;-56692,48207;38,54628592;20,06813525;108893,2577;56692,48207
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
2850;38,56019578;-20,09535804;109896,558;-57271,7704;38,56019578;20,09535804;109896,558;57271,7704
