Fuel_kg;Outer Tank LH;Inner Tank LH;Central Tank;Inner Tank RH;Outer Tank RH;Trim Tank;MOMENT-X;MOMENT-Y;CG;%MAC
16550,0;2850,0;5425,0;0,0;5425,0;2850,0;0,0;551322,1;0,0;33,3;27,2
16600,0;2850,0;5450,0;0,0;5450,0;2850,0;0,0;552855,0;0,0;33,3;27,0
16650,0;2850,0;5475,0;0,0;5475,0;2850,0;0,0;554388,1;0,0;33,3;26,9
16700,0;2850,0;5500,0;0,0;5500,0;2850,0;0,0;555921,2;0,0;33,3;26,8
16750,0;2850,0;5525,0;0,0;5525,0;2850,0;0,0;557454,3;0,0;33,3;26,7
16800,0;2850,0;5550,0;0,0;5550,0;2850,0;0,0;558987,5;0,0;33,3;26,6
16850,0;2850,0;5575,0;0,0;5575,0;2850,0;0,0;560520,7;0,0;33,3;26,5
16900,0;2850,0;5600,0;0,0;5600,0;2850,0;0,0;562054,0;0,0;33,3;26,4
16950,0;2850,0;5625,0;0,0;5625,0;2850,0;0,0;563587,3;0,0;33,2;26,3
17000,0;2850,0;5650,0;0,0;5650,0;2850,0;0,0;565120,7;0,0;33,2;26,2
17050,0;2850,0;5675,0;0,0;5675,0;2850,0;0,0;566654,9;0,0;33,2;26,1
17100,0;2850,0;5700,0;0,0;5700,0;2850,0;0,0;568189,3;0,0;33,2;26,0
17150,0;2850,0;5725,0;0,0;5725,0;2850,0;0,0;569723,7;0,0;33,2;25,9
17200,0;2850,0;5750,0;0,0;5750,0;2850,0;0,0;571258,2;0,0;33,2;25,8
17250,0;2850,0;5775,0;0,0;5775,0;2850,0;0,0;572792,8;0,0;33,2;25,7
17300,0;2850,0;5800,0;0,0;5800,0;2850,0;0,0;574327,4;0,0;33,2;25,6
17350,0;2850,0;5825,0;0,0;5825,0;2850,0;0,0;575862,0;0,0;33,2;25,5
17400,0;2850,0;5850,0;0,0;5850,0;2850,0;0,0;577396,8;0,0;33,2;25,4
17450,0;2850,0;5875,0;0,0;5875,0;2850,0;0,0;578931,5;0,0;33,2;25,3
17500,0;2850,0;5900,0;0,0;5900,0;2850,0;0,0;580466,4;0,0;33,2;25,2
17550,0;2850,0;5925,0;0,0;5925,0;2850,0;0,0;582001,2;0,0;33,2;25,1
17600,0;2850,0;5950,0;0,0;5950,0;2850,0;0,0;583536,2;0,0;33,2;25,0
17650,0;2850,0;5975,0;0,0;5975,0;2850,0;0,0;585071,8;0,0;33,1;24,9
17700,0;2850,0;6000,0;0,0;6000,0;2850,0;0,0;586608,8;0,0;33,1;24,8
17750,0;2850,0;6025,0;0,0;6025,0;2850,0;0,0;588145,8;0,0;33,1;24,7
17800,0;2850,0;6050,0;0,0;6050,0;2850,0;0,0;589682,9;0,0;33,1;24,6
17850,0;2850,0;6075,0;0,0;6075,0;2850,0;0,0;591220,1;0,0;33,1;24,5
17900,0;2850,0;6100,0;0,0;6100,0;2850,0;0,0;592757,4;0,0;33,1;24,4
17950,0;2850,0;6125,0;0,0;6125,0;2850,0;0,0;594294,7;0,0;33,1;24,4
18000,0;2850,0;6150,0;0,0;6150,0;2850,0;0,0;595832,1;0,0;33,1;24,3
18050,0;2850,0;6175,0;0,0;6175,0;2850,0;0,0;597369,5;0,0;33,1;24,2
18100,0;2850,0;6200,0;0,0;6200,0;2850,0;0,0;598907,1;0,0;33,1;24,1
18150,0;2850,0;6225,0;0,0;6225,0;2850,0;0,0;600444,7;0,0;33,1;24,0
18200,0;2850,0;6250,0;0,0;6250,0;2850,0;0,0;601982,4;0,0;33,1;23,9
18250,0;2850,0;6275,0;0,0;6275,0;2850,0;0,0;603520,1;0,0;33,1;23,8
18300,0;2850,0;6300,0;0,0;6300,0;2850,0;0,0;605057,1;0,0;33,1;23,7
18350,0;2850,0;6325,0;0,0;6325,0;2850,0;0,0;606594,0;0,0;33,1;23,6
18400,0;2850,0;6350,0;0,0;6350,0;2850,0;0,0;608131,0;0,0;33,1;23,6
18450,0;2850,0;6375,0;0,0;6375,0;2850,0;0,0;609668,0;0,0;33,0;23,5
18500,0;2850,0;6400,0;0,0;6400,0;2850,0;0,0;611205,0;0,0;33,0;23,4
18550,0;2850,0;6425,0;0,0;6425,0;2850,0;0,0;612742,2;0,0;33,0;23,3
18600,0;2850,0;6450,0;0,0;6450,0;2850,0;0,0;614279,4;0,0;33,0;23,2
18650,0;2850,0;6475,0;0,0;6475,0;2850,0;0,0;615816,7;0,0;33,0;23,1
18700,0;2850,0;6500,0;0,0;6500,0;2850,0;0,0;617354,0;0,0;33,0;23,0
18750,0;2850,0;6525,0;0,0;6525,0;2850,0;0,0;618891,4;0,0;33,0;23,0
18800,0;2850,0;6550,0;0,0;6550,0;2850,0;0,0;620428,8;0,0;33,0;22,9
18850,0;2850,0;6575,0;0,0;6575,0;2850,0;0,0;621966,4;0,0;33,0;22,8
18900,0;2850,0;6600,0;0,0;6600,0;2850,0;0,0;623503,7;0,0;33,0;22,7
18950,0;2850,0;6625,0;0,0;6625,0;2850,0;0,0;625040,3;0,0;33,0;22,6
19000,0;2850,0;6650,0;0,0;6650,0;2850,0;0,0;626576,9;0,0;33,0;22,6
19050,0;2850,0;6675,0;0,0;6675,0;2850,0;0,0;628113,6;0,0;33,0;22,5
19100,0;2850,0;6700,0;0,0;6700,0;2850,0;0,0;629650,4;0,0;33,0;22,4
19150,0;2850,0;6725,0;0,0;6725,0;2850,0;0,0;631187,2;0,0;33,0;22,3
19200,0;2850,0;6750,0;0,0;6750,0;2850,0;0,0;632724,1;0,0;33,0;22,2
19250,0;2850,0;6775,0;0,0;6775,0;2850,0;0,0;634261,0;0,0;32,9;22,2
19300,0;2850,0;6800,0;0,0;6800,0;2850,0;0,0;635798,0;0,0;32,9;22,1
19350,0;2850,0;6825,0;0,0;6825,0;2850,0;0,0;637335,0;0,0;32,9;22,0
19400,0;2850,0;6850,0;0,0;6850,0;2850,0;0,0;638872,1;0,0;32,9;21,9
19450,0;2850,0;6875,0;0,0;6875,0;2850,0;0,0;640409,3;0,0;32,9;21,8
19500,0;2850,0;6900,0;0,0;6900,0;2850,0;0,0;641946,5;0,0;32,9;21,8
19550,0;2850,0;6925,0;0,0;6925,0;2850,0;0,0;643483,0;0,0;32,9;21,7
19600,0;2850,0;6950,0;0,0;6950,0;2850,0;0,0;645019,2;0,0;32,9;21,6
19650,0;2850,0;6975,0;0,0;6975,0;2850,0;0,0;646555,4;0,0;32,9;21,5
19700,0;2850,0;7000,0;0,0;7000,0;2850,0;0,0;648091,7;0,0;32,9;21,5
19750,0;2850,0;7025,0;0,0;7025,0;2850,0;0,0;649628,1;0,0;32,9;21,4
19800,0;2850,0;7050,0;0,0;7050,0;2850,0;0,0;651164,5;0,0;32,9;21,3
19850,0;2850,0;7075,0;0,0;7075,0;2850,0;0,0;652700,9;0,0;32,9;21,2
19900,0;2850,0;7100,0;0,0;7100,0;2850,0;0,0;654237,4;0,0;32,9;21,2
19950,0;2850,0;7125,0;0,0;7125,0;2850,0;0,0;655774,0;0,0;32,9;21,1
20000,0;2850,0;7150,0;0,0;7150,0;2850,0;0,0;657310,5;0,0;32,9;21,0
20050,0;2850,0;7175,0;0,0;7175,0;2850,0;0,0;658847,2;0,0;32,9;20,9
20100,0;2850,0;7200,0;0,0;7200,0;2850,0;0,0;660383,9;0,0;32,9;20,9
20150,0;2850,0;7225,0;0,0;7225,0;2850,0;0,0;661921,0;0,0;32,8;20,8
20200,0;2850,0;7250,0;0,0;7250,0;2850,0;0,0;663461,3;0,0;32,8;20,7
20250,0;2850,0;7275,0;0,0;7275,0;2850,0;0,0;665001,6;0,0;32,8;20,7
20300,0;2850,0;7300,0;0,0;7300,0;2850,0;0,0;666542,0;0,0;32,8;20,6
20350,0;2850,0;7325,0;0,0;7325,0;2850,0;0,0;668082,4;0,0;32,8;20,5
20400,0;2850,0;7350,0;0,0;7350,0;2850,0;0,0;669622,9;0,0;32,8;20,4
20450,0;2850,0;7375,0;0,0;7375,0;2850,0;0,0;671163,5;0,0;32,8;20,4
20500,0;2850,0;7400,0;0,0;7400,0;2850,0;0,0;672704,2;0,0;32,8;20,3
20550,0;2850,0;7425,0;0,0;7425,0;2850,0;0,0;674245,0;0,0;32,8;20,2
20600,0;2850,0;7450,0;0,0;7450,0;2850,0;0,0;675785,8;0,0;32,8;20,2
20650,0;2850,0;7475,0;0,0;7475,0;2850,0;0,0;677326,7;0,0;32,8;20,1
20700,0;2850,0;7500,0;0,0;7500,0;2850,0;0,0;678867,6;0,0;32,8;20,0
20750,0;2850,0;7525,0;0,0;7525,0;2850,0;0,0;680408,7;0,0;32,8;20,0
20800,0;2850,0;7550,0;0,0;7550,0;2850,0;0,0;681949,1;0,0;32,8;19,9
20850,0;2850,0;7575,0;0,0;7575,0;2850,0;0,0;683489,1;0,0;32,8;19,9
20900,0;2850,0;7600,0;0,0;7600,0;2850,0;0,0;685029,1;0,0;32,8;19,8
20950,0;2850,0;7625,0;0,0;7625,0;2850,0;0,0;686569,2;0,0;32,8;19,7
21000,0;2850,0;7650,0;0,0;7650,0;2850,0;0,0;688109,4;0,0;32,8;19,7
21050,0;2850,0;7675,0;0,0;7675,0;2850,0;0,0;689649,6;0,0;32,8;19,6
21100,0;2850,0;7700,0;0,0;7700,0;2850,0;0,0;691189,9;0,0;32,8;19,5
21150,0;2850,0;7725,0;0,0;7725,0;2850,0;0,0;692730,2;0,0;32,8;19,5
21200,0;2850,0;7750,0;0,0;7750,0;2850,0;0,0;694270,6;0,0;32,7;19,4
21250,0;2850,0;7775,0;0,0;7775,0;2850,0;0,0;695811,1;0,0;32,7;19,3
21300,0;2850,0;7800,0;0,0;7800,0;2850,0;0,0;697351,6;0,0;32,7;19,3
21350,0;2850,0;7825,0;0,0;7825,0;2850,0;0,0;698892,2;0,0;32,7;19,2
21400,0;2850,0;7850,0;0,0;7850,0;2850,0;0,0;700432,9;0,0;32,7;19,2
21450,0;2850,0;7875,0;0,0;7875,0;2850,0;0,0;701973,6;0,0;32,7;19,1
21500,0;2850,0;7900,0;0,0;7900,0;2850,0;0,0;703514,4;0,0;32,7;19,0
21550,0;2850,0;7925,0;0,0;7925,0;2850,0;0,0;705055,3;0,0;32,7;19,0
21600,0;2850,0;7950,0;0,0;7950,0;2850,0;0,0;706596,2;0,0;32,7;18,9
21650,0;2850,0;7975,0;0,0;7975,0;2850,0;0,0;708137,2;0,0;32,7;18,9
21700,0;2850,0;8000,0;0,0;8000,0;2850,0;0,0;709678,3;0,0;32,7;18,8
21750,0;2850,0;8025,0;0,0;8025,0;2850,0;0,0;711219,4;0,0;32,7;18,7
21800,0;2850,0;8050,0;0,0;8050,0;2850,0;0,0;712760,6;0,0;32,7;18,7
21850,0;2850,0;8075,0;0,0;8075,0;2850,0;0,0;714301,8;0,0;32,7;18,6
21900,0;2850,0;8100,0;0,0;8100,0;2850,0;0,0;715843,1;0,0;32,7;18,6
21950,0;2850,0;8125,0;0,0;8125,0;2850,0;0,0;717384,5;0,0;32,7;18,5
22000,0;2850,0;8150,0;0,0;8150,0;2850,0;0,0;718925,9;0,0;32,7;18,4
22050,0;2850,0;8175,0;0,0;8175,0;2850,0;0,0;720466,8;0,0;32,7;18,4
22100,0;2850,0;8200,0;0,0;8200,0;2850,0;0,0;722007,1;0,0;32,7;18,3
22150,0;2850,0;8225,0;0,0;8225,0;2850,0;0,0;723547,4;0,0;32,7;18,3
22200,0;2850,0;8250,0;0,0;8250,0;2850,0;0,0;725087,7;0,0;32,7;18,2
22250,0;2850,0;8275,0;0,0;8275,0;2850,0;0,0;726628,2;0,0;32,7;18,1
22300,0;2850,0;8300,0;0,0;8300,0;2850,0;0,0;728168,6;0,0;32,7;18,1
22350,0;2850,0;8325,0;0,0;8325,0;2850,0;0,0;729709,2;0,0;32,6;18,0
22400,0;2850,0;8350,0;0,0;8350,0;2850,0;0,0;731249,8;0,0;32,6;18,0
22450,0;2850,0;8375,0;0,0;8375,0;2850,0;0,0;732790,4;0,0;32,6;17,9
22500,0;2850,0;8400,0;0,0;8400,0;2850,0;0,0;734331,1;0,0;32,6;17,9
22550,0;2850,0;8425,0;0,0;8425,0;2850,0;0,0;735871,9;0,0;32,6;17,8
22600,0;2850,0;8450,0;0,0;8450,0;2850,0;0,0;737412,7;0,0;32,6;17,8
22650,0;2850,0;8475,0;0,0;8475,0;2850,0;0,0;738953,5;0,0;32,6;17,7
22700,0;2850,0;8500,0;0,0;8500,0;2850,0;0,0;740494,5;0,0;32,6;17,6
22750,0;2850,0;8525,0;0,0;8525,0;2850,0;0,0;742035,4;0,0;32,6;17,6
22800,0;2850,0;8550,0;0,0;8550,0;2850,0;0,0;743576,5;0,0;32,6;17,5
22850,0;2850,0;8575,0;0,0;8575,0;2850,0;0,0;745117,6;0,0;32,6;17,5
22900,0;2850,0;8600,0;0,0;8600,0;2850,0;0,0;746658,7;0,0;32,6;17,4
22950,0;2850,0;8625,0;0,0;8625,0;2850,0;0,0;748199,9;0,0;32,6;17,4
23000,0;2850,0;8650,0;0,0;8650,0;2850,0;0,0;749741,2;0,0;32,6;17,3
23050,0;2850,0;8675,0;0,0;8675,0;2850,0;0,0;751282,5;0,0;32,6;17,3
23100,0;2850,0;8700,0;0,0;8700,0;2850,0;0,0;752823,8;0,0;32,6;17,2
23150,0;2850,0;8725,0;0,0;8725,0;2850,0;0,0;754365,3;0,0;32,6;17,2
23200,0;2850,0;8750,0;0,0;8750,0;2850,0;0,0;755906,7;0,0;32,6;17,1
23250,0;2850,0;8775,0;0,0;8775,0;2850,0;0,0;757448,3;0,0;32,6;17,1
23300,0;2850,0;8800,0;0,0;8800,0;2850,0;0,0;758990,8;0,0;32,6;17,0
