Kg_Fuel;Inner Tank LH X-arm;Inner Tank LH Y-arm;Moment_X_ILH;Moment_Y_ILH;Inner Tank RH X-arm;Inner Tank RH Y-arm;Moment_X_IRH;Moment_Y_IRH
3025;30,56080125;3,61625125;92446,42378;10939,16003;30,56080125;-3,61625125;92446,42378;-10939,16003
3050;30,560605;3,617805;93209,84525;11034,30525;30,560605;-3,617805;93209,84525;-11034,30525
3075;30,56041125;3,61936125;93973,26459;11129,53584;30,56041125;-3,61936125;93973,26459;-11129,53584
3100;30,56022;3,62092;94736,682;11224,852;30,56022;-3,62092;94736,682;-11224,852
3125;30,56003125;3,62248125;95500,09766;11320,25391;30,56003125;-3,62248125;95500,09766;-11320,25391
3150;30,559845;3,624045;96263,51175;11415,74175;30,559845;-3,624045;96263,51175;-11415,74175
3175;30,55966125;3,62561125;97026,92447;11511,31572;30,55966125;-3,62561125;97026,92447;-11511,31572
3200;30,55948;3,62718;97790,336;11606,976;30,55948;-3,62718;97790,336;-11606,976
3225;30,55930125;3,62875125;98553,74653;11702,72278;30,55930125;-3,62875125;98553,74653;-11702,72278
3250;30,559125;3,630325;99317,15625;11798,55625;30,559125;-3,630325;99317,15625;-11798,55625
3275;30,55895125;3,63190125;100080,5653;11894,47659;30,55895125;-3,63190125;100080,5653;-11894,47659
3300;30,55878;3,63348;100843,974;11990,484;30,55878;-3,63348;100843,974;-11990,484
3325;30,55861125;3,63506125;101607,3824;12086,57866;30,55861125;-3,63506125;101607,3824;-12086,57866
3350;30,558445;3,636645;102370,7908;12182,76075;30,558445;-3,636645;102370,7908;-12182,76075
3375;30,55828125;3,63823125;103134,1992;12279,03047;30,55828125;-3,63823125;103134,1992;-12279,03047
3400;30,55812;3,63982;103897,608;12375,388;30,55812;-3,63982;103897,608;-12375,388
3425;30,55796125;3,64141125;104661,0173;12471,83353;30,55796125;-3,64141125;104661,0173;-12471,83353
3450;30,557805;3,643005;105424,4273;12568,36725;30,557805;-3,643005;105424,4273;-12568,36725
3475;30,55765125;3,64460125;106187,8381;12664,98934;30,55765125;-3,64460125;106187,8381;-12664,98934
3500;30,5575;3,6462;106951,25;12761,7;30,5575;-3,6462;106951,25;-12761,7
3525;30,55735125;3,64780125;107714,6632;12858,49941;30,55735125;-3,64780125;107714,6632;-12858,49941
3550;30,557205;3,649405;108478,0778;12955,38775;30,557205;-3,649405;108478,0778;-12955,38775
3575;30,55706125;3,65101125;109241,494;13052,36522;30,55706125;-3,65101125;109241,494;-13052,36522
3600;30,55692;3,65262;110004,912;13149,432;30,55692;-3,65262;110004,912;-13149,432
3625;30,55678125;3,65423125;110768,332;13246,58828;30,55678125;-3,65423125;110768,332;-13246,58828
3650;30,556645;3,655845;111531,7543;13343,83425;30,556645;-3,655845;111531,7543;-13343,83425
3675;30,55651125;3,65746125;112295,1788;13441,17009;30,55651125;-3,65746125;112295,1788;-13441,17009
3700;30,55638;3,65908;113058,606;13538,596;30,55638;-3,65908;113058,606;-13538,596
3725;30,55625125;3,66070125;113822,0359;13636,11216;30,55625125;-3,66070125;113822,0359;-13636,11216
3750;30,556125;3,662325;114585,4688;13733,71875;30,556125;-3,662325;114585,4688;-13733,71875
3775;30,55600125;3,66395125;115348,9047;13831,41597;30,55600125;-3,66395125;115348,9047;-13831,41597
3800;30,55588;3,66558;116112,344;13929,204;30,55588;-3,66558;116112,344;-13929,204
3825;30,55576125;3,66721125;116875,7868;14027,08303;30,55576125;-3,66721125;116875,7868;-14027,08303
3850;30,555645;3,668845;117639,2333;14125,05325;30,555645;-3,668845;117639,2333;-14125,05325
3875;30,55553125;3,67048125;118402,6836;14223,11484;30,55553125;-3,67048125;118402,6836;-14223,11484
3900;30,55542;3,67212;119166,138;14321,268;30,55542;-3,67212;119166,138;-14321,268
3925;30,55531125;3,67376125;119929,5967;14419,51291;30,55531125;-3,67376125;119929,5967;-14419,51291
3950;30,555205;3,675405;120693,0598;14517,84975;30,555205;-3,675405;120693,0598;-14517,84975
3975;30,55510125;3,67705125;121456,5275;14616,27872;30,55510125;-3,67705125;121456,5275;-14616,27872
4000;30,555;3,6787;122220;14714,8;30,555;-3,6787;122220;-14714,8
4025;30,55490125;3,68035125;122983,4775;14813,41378;30,55490125;-3,68035125;122983,4775;-14813,41378
4050;30,554805;3,682005;123746,9603;14912,12025;30,554805;-3,682005;123746,9603;-14912,12025
4075;30,55471125;3,68366125;124510,4483;15010,91959;30,55471125;-3,68366125;124510,4483;-15010,91959
4100;30,55462;3,68532;125273,942;15109,812;30,55462;-3,68532;125273,942;-15109,812
4125;30,55453125;3,68698125;126037,4414;15208,79766;30,55453125;-3,68698125;126037,4414;-15208,79766
4150;30,554445;3,688645;126800,9468;15307,87675;30,554445;-3,688645;126800,9468;-15307,87675
4175;30,55436125;3,69031125;127564,4582;15407,04947;30,55436125;-3,69031125;127564,4582;-15407,04947
4200;30,55428;3,69198;128327,976;15506,316;30,55428;-3,69198;128327,976;-15506,316
4225;30,55420125;3,69365125;129091,5003;15605,67653;30,55420125;-3,69365125;129091,5003;-15605,67653
4250;30,554125;3,695325;129855,0313;15705,13125;30,554125;-3,695325;129855,0313;-15705,13125
4275;30,55405125;3,69700125;130618,5691;15804,68034;30,55405125;-3,69700125;130618,5691;-15804,68034
4300;30,55398;3,69868;131382,114;15904,324;30,55398;-3,69868;131382,114;-15904,324
4325;30,55391125;3,70036125;132145,6662;16004,06241;30,55391125;-3,70036125;132145,6662;-16004,06241
4350;30,553845;3,702045;132909,2258;16103,89575;30,553845;-3,702045;132909,2258;-16103,89575
4375;30,55378125;3,70373125;133672,793;16203,82422;30,55378125;-3,70373125;133672,793;-16203,82422
